time	cam_x	cam_y	cam_z	obj_x	obj_y	obj_z	cam_i	cam_j	cam_k	cam_w	obj_i	obj_j	obj_k	obj_w
4.25	-193.6560932	-300.568788	72.42490443	29.69304824	1200.706278	111.7142731	0.00158712	-0.009005382	0.021477911	0.999727505	-0.000190428	-0.006008933	-0.02564682	0.999652988
4.3	-195.3214368	-300.7806248	72.554138	35.7407779	1200.690605	111.7713388	-0.002621665	-0.002274768	0.022009026	0.999751747	-0.003427505	-0.008107543	-0.028904129	0.999543431
4.35	-195.2383947	-300.7907541	72.54974331	42.06924929	1200.643802	111.8665629	-0.002297986	-0.001937731	0.02176201	0.999758661	-0.00337135	-0.006409485	-0.027997152	0.999581769
4.4	-195.2768815	-300.7354698	72.59650814	48.60462841	1200.706551	111.8883552	0.000929577	0.000626968	0.021560517	0.999766916	-0.004578067	-0.008490654	-0.028811771	0.999538309
4.45	-195.194218	-300.7425171	72.60949393	54.75978566	1200.536894	111.9148428	0.000560706	0.000415721	0.020992416	0.999779391	-0.004470994	-0.007742887	-0.030210465	0.99950357
4.5	-195.1038314	-300.7457326	72.61748619	60.72540121	1200.50702	112.0074209	0.000946768	0.000203202	0.021232795	0.99977409	-0.004587774	-0.007151169	-0.028420723	0.999559941
4.55	-194.7795589	-300.6024861	72.39846136	66.75180979	1200.351508	112.0240524	0.002467975	-0.006998584	0.017529979	0.999818798	-0.005968263	-0.009374206	-0.030475253	0.999473743
4.6	-194.956125	-300.7232337	72.57456632	74.05146399	1200.098696	112.0176394	0.000775785	-9.52E-05	0.021014852	0.999778858	-0.007886457	-0.008213152	-0.032761071	0.999398349
4.65	-195.033971	-300.750606	72.65572176	79.15344767	1200.047985	112.0902468	0.002998049	9.31E-05	0.02304552	0.999729917	-0.007367208	-0.008523886	-0.034921237	0.999326561
4.7	-194.8932009	-300.7279787	72.64234819	85.37185189	1199.939629	112.2587068	0.001571425	0.001081294	0.021056701	0.999776463	-0.006510708	-0.008081725	-0.03528888	0.999323267
4.75	-194.7098132	-300.7078045	72.64099456	93.42513221	1199.849417	112.3096897	0.001520896	0.00159781	0.020959429	0.999777893	-0.005555965	-0.007726576	-0.033944271	0.999378416
4.8	-193.2743123	-300.4757113	72.33712153	100.1500611	1199.799008	112.361847	0.003309509	-0.012099227	0.018690916	0.999746621	-0.006139014	-0.008661876	-0.035246384	0.999322259
4.85	-191.398944	-300.6450077	72.40813363	106.0968591	1199.65795	112.3611666	-0.001723316	-0.008478822	0.017770635	0.999804653	-0.006636097	-0.007161624	-0.034676984	0.999350879
4.9	-190.4124188	-300.6855176	72.40477639	111.4601882	1199.628427	112.4726214	-0.001356041	-0.008878688	0.018611674	0.999786445	-0.005210727	-0.006719187	-0.032397565	0.999438892
